id,relid,year,start_year,end_year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,iso3,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
,,#date+year,#date+year+start,#date+year+end,,,,,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,,#adm1+name,#adm2+name,#geo+lat,#country+code,#geo+lon,,,#country+name,,#region+name,,,#date+start,#date+end,,,,,#affected+killed,,,,
142479,INS-2002-1-347-180,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Jakarta Post,2002-09-03,10 killed in fresh violence in Aceh over the weekend.""",Jakarta Post,2002-09-03,10 killed in fresh violence in Aceh over the weekend.,Aceh Police spokesman Adj. Sr. Comr. Dade Achmad,1,Krueng Tingkeh village,"Tingkeh village, Woyla",Aceh Province,West Aceh Regency,4.467300,IDN,96.057999,POINT (96.057999 4.467300),135913,Indonesia,850,Asia,1,1,2002-09-01 00:00:00.000,2002-09-01 00:00:00.000,0,2,0,0,2,2,2,850,
142480,INS-2002-1-347-181,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Jakarta Post,2002-09-03,10 killed in fresh violence in Aceh over the weekend.""",Jakarta Post,2002-09-03,10 killed in fresh violence in Aceh over the weekend.,Aceh Police spokesman Adj. Sr. Comr. Dade Achmad,1,Blang Dalam village,"Blang Dalam village, just a few kilometers from Tingkeh village",Aceh Province,Bireuen Regency,5.168599,IDN,96.750737,POINT (96.750737 5.168599),137354,Indonesia,850,Asia,1,1,2002-09-01 00:00:00.000,2002-09-01 00:00:00.000,0,3,0,0,3,3,3,850,
142481,INS-2002-1-347-182,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Jakarta Post,2002-09-03,10 killed in fresh violence in Aceh over the weekend.""",Jakarta Post,2002-09-03,10 killed in fresh violence in Aceh over the weekend.,Aceh Military spokesman May. Zaenal Muttaqien,3,North Aceh Regency,PT Arun NGL. Co. in North Aceh,Aceh Province,North Aceh Regency,5.050000,IDN,97.316667,POINT (97.316667 5.050000),137355,Indonesia,850,Asia,1,1,2002-09-01 00:00:00.000,2002-09-01 00:00:00.000,0,0,0,1,1,1,1,850,
142486,INS-2002-1-347-183,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Jakarta Post,2002-09-05,2 high school girls shot dead in Aceh.""",Jakarta Post,2002-09-05,2 high school girls shot dead in Aceh.,Lt. Col. Supartodi,1,Raya Sanggue village,Raya Sanggeu village in Pidie regency,Aceh Province,Pidie Regency,5.364728,IDN,95.927746,POINT (95.927746 5.364728),137352,Indonesia,850,Asia,1,1,2002-09-03 00:00:00.000,2002-09-03 00:00:00.000,0,3,0,0,3,3,3,850,
142491,INS-2002-1-347-185,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,2,"""Agence France-Presse,2002-09-08,Indonesian troops kill three suspected rebels in restive Aceh"";""Agence France-Presse,2002-09-08,Indonesian troops kill three suspected rebels in restive Aceh""",Agence France-Presse;Agence France-Presse,2002-09-08;2002-09-08,Indonesian troops kill three suspected rebels in restive Aceh;Indonesian troops kill three suspected rebels in restive Aceh,Aceh Military Spokesman Major Zaenal Muttaqin,1,Teunom town,"Teunom, in the West Aceh",Aceh Province,Aceh Jaya Regency,4.445400,IDN,95.810000,POINT (95.810000 4.445400),135912,Indonesia,850,Asia,1,1,2002-09-07 00:00:00.000,2002-09-07 00:00:00.000,0,3,0,0,3,3,3,850,
142492,INS-2002-1-347-186,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Agence France-Presse,2002-09-08,Indonesian troops kill three suspected rebels in restive Aceh""",Agence France-Presse,2002-09-08,Indonesian troops kill three suspected rebels in restive Aceh,"GAM commander, Darwis Djeunieb, Aceh Military Spokesman Major Zaenal Muttaqin",1,Cot Tunong village,"Cot Tunong, in the district of Bireun",Aceh Province,Bireuen Regency,5.216028,IDN,96.853078,POINT (96.853078 5.216028),137354,Indonesia,850,Asia,1,1,2002-09-07 00:00:00.000,2002-09-07 00:00:00.000,0,1,0,0,1,3,1,850,
142502,INS-2002-1-347-189,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""BBC Monitoring Asia Pacific,2002-09-16,Indonesian media report another violent weekend in Aceh 13-15 September.""",BBC Monitoring Asia Pacific,2002-09-16,Indonesian media report another violent weekend in Aceh 13-15 September.,GAM,1,Lhok Kuyuen village,"Lhok Kuyeun, Sawang at 1430 on Friday",Aceh Province,North Aceh Regency,5.187540,IDN,96.916888,POINT (96.916888 5.187540),137354,Indonesia,850,Asia,1,1,2002-09-13 00:00:00.000,2002-09-13 00:00:00.000,0,0,0,0,0,2,0,850,
142493,INS-2002-1-347-187,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Jakarta Post,2002-09-15,Two policemen killed in restive Aceh.""",Jakarta Post,2002-09-15,Two policemen killed in restive Aceh.,"Taufik Sugiono, spokesman for the Aceh Provincial Police",1,Seunuddon village,"Seunuddon, North Aceh",Aceh Province,North Aceh Regency,5.177058,IDN,97.456186,POINT (97.456186 5.177058),137355,Indonesia,850,Asia,1,1,2002-09-14 00:00:00.000,2002-09-14 00:00:00.000,2,0,0,0,2,2,2,850,
142501,INS-2002-1-347-188,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""BBC Monitoring Asia Pacific,2002-09-16,Indonesian media report another violent weekend in Aceh 13-15 September.""",BBC Monitoring Asia Pacific,2002-09-16,Indonesian media report another violent weekend in Aceh 13-15 September.,Local military spokesman Major Zaenal Mutaqien,1,Meureudu town,Meureudu in Pidie,Aceh Province,Pidie Regency,4.988284,IDN,96.280086,POINT (96.280086 4.988284),136633,Indonesia,850,Asia,1,1,2002-09-15 00:00:00.000,2002-09-15 00:00:00.000,1,0,0,0,1,1,1,850,
142504,INS-2002-1-347-190,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""BBC Monitoring Asia Pacific,2002-09-16,Indonesian media report another violent weekend in Aceh 13-15 September.""",BBC Monitoring Asia Pacific,2002-09-16,Indonesian media report another violent weekend in Aceh 13-15 September.,GAM,1,Meurebo village,Meureubo in Makmur,Aceh Province,West Aceh Regency,4.147409,IDN,96.216359,POINT (96.216359 4.147409),135913,Indonesia,850,Asia,1,1,2002-09-15 00:00:00.000,2002-09-15 00:00:00.000,0,0,0,0,0,2,0,850,
142507,INS-2002-1-347-191,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""BBC Monitoring Asia Pacific,2002-09-20,Aceh daily carries reports of recent violence.""",BBC Monitoring Asia Pacific,2002-09-20,Aceh daily carries reports of recent violence.,Police Security Restoration Operation deputy spokesman Commissioner Taufiq S.,1,Darul Makmur town,"Darul Makmur, Nagan Raya",Aceh Province,Nagan Raya Regency,4.002581,IDN,96.535644,POINT (96.535644 4.002581),135914,Indonesia,850,Asia,1,1,2002-09-16 00:00:00.000,2002-09-16 00:00:00.000,0,2,0,0,2,2,2,850,
142524,INS-2002-1-347-192,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Associated Press Newswires,2002-10-01,Rebel commander killed in gunbattle in Indonesia's Aceh province""",Associated Press Newswires,2002-10-01,Rebel commander killed in gunbattle in Indonesia's Aceh province,"police spokesman, GAM spokesman",2,Banda Aceh Town,outside Banda Aceh,Aceh Province,Kota Banda Aceh,5.550000,IDN,95.316667,POINT (95.316667 5.550000),138071,Indonesia,850,Asia,1,1,2002-10-01 00:00:00.000,2002-10-01 00:00:00.000,0,1,0,0,1,1,1,850,
142525,INS-2002-1-347-193,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Associated Press Newswires,2002-10-02,Rebels suspected in shooting death of policeman in Indonesia's troubled Aceh province""",Associated Press Newswires,2002-10-02,Rebels suspected in shooting death of policeman in Indonesia's troubled Aceh province,Maj. Taufiq Sutiono,1,Geureugok village,"Geureugok, a village in northern Aceh",Aceh Province,North Aceh Regency,5.232690,IDN,96.890600,POINT (96.890600 5.232690),137354,Indonesia,850,Asia,1,1,2002-10-02 00:00:00.000,2002-10-02 00:00:00.000,1,0,0,0,1,1,1,850,
142526,INS-2002-1-347-194,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Jakarta Post,2002-10-07,Tank attack kills woman, grandson.""",Jakarta Post,2002-10-07,"Tank attack kills woman, grandson.","witnesses, GAM",1,Jambo Aye village,"Gampong Lhueng Tuha village, Jambo Aye district, North Aceh",Aceh Province,North Aceh Regency,5.089694,IDN,97.448953,POINT (97.448953 5.089694),137355,Indonesia,850,Asia,1,1,2002-10-04 00:00:00.000,2002-10-04 00:00:00.000,0,0,2,0,2,2,2,850,
142527,INS-2002-1-347-195,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Jakarta Post,2002-10-07,Tank attack kills woman, grandson.""",Jakarta Post,2002-10-07,"Tank attack kills woman, grandson.",South Aceh Military commander Lt. Col. Agus Permana,3,South Aceh Regency,Mount Air Pinang,Aceh Province,South Aceh Regency,3.133333,IDN,97.450000,POINT (97.450000 3.133333),134475,Indonesia,850,Asia,1,1,2002-10-04 00:00:00.000,2002-10-04 00:00:00.000,1,2,0,0,3,3,3,850,
142529,INS-2002-1-347-197,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Agence France-Presse,2002-10-08,Three Indonesian soldiers, one teacher killed in Indonesia's Aceh [Corrected 10/08/02]""",Agence France-Presse,2002-10-08,"Three Indonesian soldiers, one teacher killed in Indonesia's Aceh [Corrected 10/08/02]",military spokesman Major Zaenal Mutaqin; Local GAM commander Abrar Muda,1,Jambo Dalem village,Jambo Dalem,Aceh Province,South Aceh Regency,2.920521,IDN,97.774270,POINT (97.774270 2.920521),133756,Indonesia,850,Asia,1,1,2002-10-07 00:00:00.000,2002-10-07 00:00:00.000,1,0,0,0,1,1,1,850,
142530,INS-2002-1-347-198,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Agence France-Presse,2002-10-08,Three Indonesian soldiers, one teacher killed in Indonesia's Aceh [Corrected 10/08/02]""",Agence France-Presse,2002-10-08,"Three Indonesian soldiers, one teacher killed in Indonesia's Aceh [Corrected 10/08/02]",military spokesman Major Zaenal Mutaqin; Local GAM commander Abrar Muda,1,Bukit Gadeng village,"Bukit Gadeng, South Aceh",Aceh Province,South Aceh Regency,2.995247,IDN,97.489391,POINT (97.489391 2.995247),133755,Indonesia,850,Asia,1,1,2002-10-07 00:00:00.000,2002-10-07 00:00:00.000,1,0,0,0,1,1,1,850,
142528,INS-2002-1-347-196,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Agence France-Presse,2002-10-08,Three Indonesian soldiers, one teacher killed in Indonesia's Aceh [Corrected 10/08/02]""",Agence France-Presse,2002-10-08,"Three Indonesian soldiers, one teacher killed in Indonesia's Aceh [Corrected 10/08/02]",military spokesman Major Zaenal Mutaqin,1,Uram Jalan village,"Uram Jalan, in the district of East Aceh,",Aceh Province,East Aceh Regency,4.903710,IDN,97.709420,POINT (97.709420 4.903710),136636,Indonesia,850,Asia,1,1,2002-10-08 00:00:00.000,2002-10-08 00:00:00.000,1,0,0,0,1,1,1,850,
142533,INS-2002-1-347-200,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,2,"""Jakarta Post,2002-10-11,Aceh rebel commander shot dead in shootout."";""Reuters News,2002-10-11,Indonesia police kill Aceh rebel commander.""",Jakarta Post;Reuters News,2002-10-11;2002-10-11,Aceh rebel commander shot dead in shootout.;Indonesia police kill Aceh rebel commander.,"Comr. Taufiq Sutiyono, GAM field commander Abdul Amri",1,Teupi Asan village,Teupi Asan village in Aceh Jaya regency,Aceh Province,Aceh Jaya Regency,5.037500,IDN,95.703200,POINT (95.703200 5.037500),137352,Indonesia,850,Asia,1,1,2002-10-10 00:00:00.000,2002-10-10 00:00:00.000,0,1,0,0,1,1,1,850,
142560,INS-2002-1-347-202,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Agence France-Presse,2002-10-23,Five more killed, including two soldiers, in Indonesia's Aceh""",Agence France-Presse,2002-10-23,"Five more killed, including two soldiers, in Indonesia's Aceh",,1,Lokop town,Lokop in East Aceh,Aceh Province,East Aceh Regency,4.412333,IDN,97.384072,POINT (97.384072 4.412333),135915,Indonesia,850,Asia,1,1,2002-10-21 00:00:00.000,2002-10-21 00:00:00.000,1,0,0,0,1,1,1,850,
142559,INS-2002-1-347-201,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Agence France-Presse,2002-10-23,Five more killed, including two soldiers, in Indonesia's Aceh""",Agence France-Presse,2002-10-23,"Five more killed, including two soldiers, in Indonesia's Aceh",provincial military spokesman Major Zaenal Mutaqin,1,Ubit Paya Itek village,Ubit Paya Itek,Aceh Province,North Aceh Regency,5.062400,IDN,97.218724,POINT (97.218724 5.062400),137355,Indonesia,850,Asia,1,1,2002-10-22 00:00:00.000,2002-10-22 00:00:00.000,1,0,0,0,1,1,1,850,
142561,INS-2002-1-347-203,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Agence France-Presse,2002-10-23,Five more killed, including two soldiers, in Indonesia's Aceh""",Agence France-Presse,2002-10-23,"Five more killed, including two soldiers, in Indonesia's Aceh",police spokesman Commissioner Taufik Sutiyono,1,Lhokseumawe town,Lhokseumawe,Aceh Province,North Aceh Regency,5.188056,IDN,97.140278,POINT (97.140278 5.188056),137355,Indonesia,850,Asia,1,1,2002-10-22 00:00:00.000,2002-10-22 00:00:00.000,0,1,0,0,1,1,1,850,
142563,INS-2002-1-347-204,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Agence France-Presse,2002-10-26,Indonesian army kills six suspected rebels in troubled Aceh""",Agence France-Presse,2002-10-26,Indonesian army kills six suspected rebels in troubled Aceh,Lieutenant Colonel Firdaus Komarno,2,Siron town,Siron area of Aceh Besar,Aceh Province,Aceh Besar Regency,5.511879,IDN,95.365304,POINT (95.365304 5.511879),138071,Indonesia,850,Asia,1,1,2002-10-25 00:00:00.000,2002-10-25 00:00:00.000,0,6,0,0,6,6,6,850,
142564,INS-2002-1-347-205,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Agence France-Presse,2002-10-26,Indonesian army kills seven suspected rebels in troubled Aceh [Corrected 10/26/02]""",Agence France-Presse,2002-10-26,Indonesian army kills seven suspected rebels in troubled Aceh [Corrected 10/26/02],Police Commissioner Taufik Sutiyono,1,Banda Aceh Town,Ajun area of Banda Aceh,Aceh Province,Kota Banda Aceh,5.550000,IDN,95.316667,POINT (95.316667 5.550000),138071,Indonesia,850,Asia,1,1,2002-10-26 00:00:00.000,2002-10-26 00:00:00.000,0,1,0,0,1,1,1,850,
142565,INS-2002-1-347-206,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Agence France-Presse,2002-11-02,Two rebels die in battle ahead of Aceh ceasefire announcement""",Agence France-Presse,2002-11-02,Two rebels die in battle ahead of Aceh ceasefire announcement,"army, GAM",1,Awe Geutah village,"Awe Geutah, Bireuen district",Aceh Province,Bireuen Regency,5.147390,IDN,96.796200,POINT (96.796200 5.147390),137354,Indonesia,850,Asia,1,1,2002-11-01 00:00:00.000,2002-11-01 00:00:00.000,0,2,0,0,2,2,2,850,
142567,INS-2002-1-347-208,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,2,"""Agence France-Presse,2002-11-06,Ceasefire breaks down as Aceh rebel spokesman says he's under siege [Corrected 11/06/02]"";""Associated Press Newswires,2002-11-06,Five die in raid on rebel camp in Indonesia's Aceh province""",Agence France-Presse;Associated Press Newswires,2002-11-06;2002-11-06,Ceasefire breaks down as Aceh rebel spokesman says he's under siege [Corrected 11/06/02];Five die in raid on rebel camp in Indonesia's Aceh province,GAM leaders,2,Paya Cot Trieng village,around Paya Cot Trieng in North Aceh's Nisam district,Aceh Province,North Aceh Regency,5.171300,IDN,97.060800,POINT (97.060800 5.171300),137355,Indonesia,850,Asia,2,2,2002-11-01 00:00:00.000,2002-11-06 00:00:00.000,0,1,0,4,5,9,5,850,
142566,INS-2002-1-347-207,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""Agence France-Presse,2002-11-06,Ceasefire breaks down as Aceh rebel spokesman says he's under siege [Corrected 11/06/02]""",Agence France-Presse,2002-11-06,Ceasefire breaks down as Aceh rebel spokesman says he's under siege [Corrected 11/06/02],"Komarno, the military spokesman",4,Aceh Province,Aceh,Aceh Province,,5.550000,IDN,95.316667,POINT (95.316667 5.550000),138071,Indonesia,850,Asia,1,1,2002-11-04 00:00:00.000,2002-11-04 00:00:00.000,1,4,0,0,5,5,5,850,
142569,INS-2002-1-347-209,2002,2002,2002,1,Clear,1,366,366,Indonesia: Aceh,794,794,Government of Indonesia - GAM,155,155,Government of Indonesia,327,327,GAM,1,"""The Jakarta Post,2002-11-17,A soldier killed, four wounded in Aceh.""",The Jakarta Post,2002-11-17,"A soldier killed, four wounded in Aceh.",spokesman for the military operation in Lhokseumawe,1,Pante Rambong village,"Pante Rambong village in Simpang Ulim, East Aceh,",Aceh Province,East Aceh Regency,4.970154,IDN,97.519309,POINT (97.519309 4.970154),136636,Indonesia,850,Asia,1,1,2002-11-16 00:00:00.000,2002-11-16 00:00:00.000,1,0,0,0,1,1,1,850,
